age,10 shortest trips (minutes)
27.0,-56.36666666666667
20.0,-53.68333333333333
25.0,-49.833333333333336
27.0,-48.95
44.0,-46.1
32.0,-45.15
24.0,-33.416666666666664
23.0,-31.266666666666666
21.0,1.0166666666666666
19.0,1.0166666666666666
