age,10 longest trips (minutes)
32.0,102756.23333333334
20.0,100665.71666666666
33.0,86160.36666666667
25.0,80151.51666666666
28.0,68717.35
25.0,58484.75
37.0,54114.03333333333
37.0,50784.48333333333
29.0,48504.88333333333
49.0,45136.433333333334
