day,avg trip length per day (minutes)
2020-01-21,11.66198740197968
2020-01-17,14.184085018144119
2020-01-25,31.23293788580247
2020-01-10,25.885580129892908
2020-01-24,17.72293774496399
2020-01-04,30.311342955757777
2020-01-11,14.604248704663215
2020-01-13,11.685840779853775
2020-01-28,14.206263730776909
2020-01-22,16.701994922016677
2020-01-03,12.688378607809852
2020-01-07,12.886690877529581
2020-01-05,30.383673805601315
2020-01-06,18.27639851076864
2020-01-27,12.004896526237992
2020-01-30,11.890934205190591
2020-01-12,14.397008305020767
2020-01-19,24.87024208566108
2020-01-23,37.761324845465474
2020-01-16,11.395089475280555
2020-01-02,20.71225497761999
2020-01-09,36.20812512247693
2020-01-31,14.509908499140261
2020-01-15,26.18297754699747
2020-01-26,53.42514424337794
2020-01-20,44.4495509322419
2020-01-18,18.660130111524158
2020-01-01,28.247010742643635
2020-01-14,14.036288382623459
2020-01-08,11.058090169450054
2020-01-29,13.443495997934424
2020-02-15,18.763735070575464
2020-02-04,12.286005625879051
2020-02-12,12.665631996743343
2020-02-11,28.053033580552118
2020-02-25,11.663828720417168
2020-02-09,73.19170794349658
2020-02-23,36.83210989482722
2020-02-21,17.40220245658618
2020-02-27,11.558856358111269
2020-02-19,12.623819080860958
2020-02-01,49.5364596337911
2020-02-08,40.58032829062469
2020-02-20,11.313274185872595
2020-02-22,50.00581118240152
2020-02-10,20.1971107248209
2020-02-05,11.531722832495491
2020-02-24,11.287659279091674
2020-02-06,26.503279950723734
2020-02-18,19.728452704744626
2020-02-29,19.801704701677203
2020-02-16,23.68343572241183
2020-02-17,12.388890429958389
2020-02-13,17.47099945085118
2020-02-14,14.671477892861116
2020-02-28,46.688238593866814
2020-02-02,65.44044366500522
2020-02-26,12.05289749208668
2020-02-03,12.125881652468632
2020-02-07,13.86475763928593
2020-03-13,19.232855258819654
2020-03-07,25.896886966035115
2020-03-09,13.750173880873108
2020-03-10,14.083891231208202
2020-03-11,14.307006508539725
2020-03-29,25.24696554871092
2020-03-21,31.709164314832243
2020-03-03,12.744755414942812
2020-03-05,14.784387471278256
2020-03-06,13.792630607146727
2020-03-25,39.169195246399255
2020-03-02,25.12885822835435
2020-03-22,39.20880645975272
2020-03-08,35.90043867502241
2020-03-30,19.142294461644305
2020-03-17,20.694323177201756
2020-03-27,105.50597315436244
2020-03-12,17.497267137780955
2020-03-19,31.715184815184823
2020-03-16,15.9669056811914
2020-03-01,35.944433202931776
2020-03-15,33.412366887683326
2020-03-26,44.044921875
2020-03-31,48.72237977805179
2020-03-20,21.78291863291863
2020-03-23,26.4069006442862
2020-03-28,24.67453222453223
2020-03-04,13.653394473558846
2020-03-14,28.646374622356507
2020-03-24,28.683696695461396
2020-03-18,17.840813586097948
