day,avg trip length per day (minutes)
2019-10-01,20.135485417571225
2019-10-02,15.166578965121785
2019-10-03,18.767768049253338
2019-10-05,28.31986701109837
2019-10-04,22.57105353466033
2019-10-06,37.406730864934865
2019-10-08,19.77992720153581
2019-10-07,16.801710516148976
2019-10-10,21.87627097182665
2019-10-09,19.57372479585129
2019-10-14,20.474860355458798
2019-10-12,23.432626599249105
2019-10-13,27.71245292572548
2019-10-11,15.24534056886225
2019-10-15,15.52133062595573
2019-10-17,15.003289328932874
2019-10-16,19.226312794247107
2019-10-18,20.11165342413926
2019-10-19,45.28463890680622
2019-10-22,24.31104047467683
2019-10-21,15.563027699810052
2019-10-20,35.89649998400357
2019-10-23,20.221167986063094
2019-10-24,15.775248856604748
2019-10-25,16.53761824797083
2019-10-26,30.594402685909017
2019-10-30,22.887681660899606
2019-10-28,14.930619694397267
2019-10-27,29.588574612608838
2019-10-29,19.29857567166192
2019-11-01,14.276577315827884
2019-11-05,18.681966776523844
2019-11-02,21.407357870106893
2019-10-31,14.732254335260134
2019-11-03,24.09688046806659
2019-11-04,15.75485376946477
2019-11-09,20.951059426735878
2019-11-08,20.164008663122683
2019-11-10,29.606156769936895
2019-11-07,12.217665867306167
2019-11-06,15.499454950719192
2019-11-18,13.894594825743022
2019-11-15,12.881000488838207
2019-11-14,14.299094301016968
2019-11-13,23.693682048804032
2019-11-11,12.751525605642438
2019-11-12,13.039709977912207
2019-11-17,15.28140385894872
2019-11-16,19.54694444444439
2019-11-21,14.718356409111207
2019-11-19,13.873707975679585
2019-11-22,13.879871693816796
2019-11-23,30.3620207487596
2019-11-20,22.078442875248975
2019-11-27,15.60520353302613
2019-11-28,30.663544973544944
2019-11-24,23.379514646564832
2019-11-29,37.14311205119855
2019-11-26,20.305087773807724
2019-11-25,15.033627213283431
2019-12-01,28.31638403108989
2019-11-30,23.383907672301714
2019-12-02,13.752809687918836
2019-12-04,12.184441056910508
2019-12-05,17.38471779699589
2019-12-03,20.23903782752037
2019-12-06,13.911311914323958
2019-12-10,11.661822568671168
2019-12-08,17.56002935010479
2019-12-11,11.106701631701627
2019-12-07,19.054460996315793
2019-12-13,20.169238476953904
2019-12-12,12.628736672701702
2019-12-09,13.018314622913099
2019-12-18,10.404171916561635
2019-12-14,24.733290610462323
2019-12-16,11.205868748193128
2019-12-15,14.977221172022682
2019-12-20,14.949062536056323
2019-12-19,12.811442042991896
2019-12-17,13.99112115631448
2019-12-28,24.581466763005785
2019-12-22,27.876924698541163
2019-12-29,25.16288228259005
2019-12-23,14.485526474127575
2019-12-25,33.81302341597798
2019-12-27,18.435083312400604
2019-12-26,24.26598862265129
2019-12-21,21.832727430104732
2019-12-24,23.58070433268018
2019-12-30,13.674118299072942
2019-12-31,16.832686158063044
